; ********************************************************
; PBBans MBi for Call of Duty 2
; Generated on May 22, 2017
; ********************************************************

[PBBans:411230 2017-02-12] 20da96e2fd9f773e5f1d94eba275c7f9 "IMPACT EL_PATRON" "187.2.*.*" "Caught by PBSS WALLHACK"
[PBBans:411229 2017-02-12] 1f74bb68630b8b5af5b91ccbc44305ea "dragons sapo" "187.45.*.*" "Caught by PBSS WALLHACK"
[PBBans:411227 2017-02-12] 9e08a7eb919b20382cbbddf3a6a89997 "Machine" "190.102.*.*" "PB HACK 130091"
[PBBans:408748 2016-10-09] 5d95bd79d3978440140f6ed95849ce84 "LOCO Sanchez De La Nava" "89.143.*.*" "Caught by PBSS ESP HACK"
[PBBans:402957 2016-03-18] 25111a6dba102fb5dd059bc3d7d60323 "Kiddnes" "80.188.*.*" "PB HACK 130392"
[PBBans:401932 2016-02-09] 3f2408c94f9e9526316215b6e4e6ad32 "22[VaGoS]00Bubble" "190.224.*.*" "CVAR 9001 - (mom_aimbot = 1)"
[PBBans:401321 2016-01-20] ac53898f35d45b5e696458455bc9f6d8 "0Riddick" "200.74.*.*" "MD5TOOL 9002 - (cod2_hwbp.dll (len=32))"
[PBBans:401011 2016-01-13] 36d85d92d34422e79209363a37242d1d "m4nd1ng4" "200.74.*.*" "MD5TOOL 9002 - (cod2_hwbp.dll (len=2048))"
[PBBans:401010 2016-01-13] b01688d039342eef2f73a96cddf708ca "m4nd1ng4" "200.74.*.*" "MD5TOOL 9002 - (cod2_hwbp.dll (len=32))"
[PBBans:401009 2016-01-13] bbbc7e386e35c2759cfadef39d8c0bcf "m4nd1ng4" "200.74.*.*" "MD5TOOL 9002 - (cod2_hwbp.dll (len=2048))"
[PBBans:400893 2016-01-09] d621d3522406de0b272be61839d77d86 "Erick" "201.7.*.*" "MD5TOOL 9002 - (cUBot.log (len=16))"
[PBBans:400625 2015-12-28] 7ada890d77644618728a019674bbb6ef "Bolsitade!TE!" "186.67.*.*" "MD5TOOL 9002 - (cUBot.log (len=16))"
[PBBans:392417 2015-05-30] 0712c69cbf8ee86e67f7a5bce9a9c1be "SNIPERALBANIA" "31.44.*.*" "MD5TOOL 9002 - (killsounds/Headshot.wav (len=32))"
[PBBans:389421 2015-04-08] 95a3c89d3d98bbc47c4f482a50ecf8ab "Fred" "85.221.*.*" "MD5TOOL 9002 - (Wallhack.dll (len=2048))"
[PBBans:385647 2015-02-25] 4ade0a5296e4f0668c19e5c74755cda2 "iCONNEC[t]" "31.61.*.*" "CVAR 9001 - (cu_aim_fov_y = 360)"
[PBBans:385644 2015-02-25] b9d6c5c66d26e63ae13e5b0f46537e86 "OWNED by pKQ-" "77.253.*.*" "CVAR 9001 - (cu_aim_fov_y = 360)"
[PBBans:383945 2015-02-12] 58f38017f1398fd96d466500423297d7 "Bigos" "83.19.*.*" "MD5TOOL 9002 - (FANTASY_CoD2.dll (len=2048))"
[PBBans:383365 2015-02-04] caf7453fe2cad0315b2633a240810652 "UDIEpls" "95.61.*.*" "WALLHACK 60015"
[PBBans:383113 2015-01-31] 119678ca6999c453a450ee34dc6b890c "fak.ju" "217.170.*.*" "PB HACK 130392"
